[FIRs]
;ICAO|NAME|CALLSIGN PREFIX|FIR BOUNDARY
YWEG|Brisbane (Warrego) 132.45* (125.2)|BN-WEG|YWEG
YWOL|Melbourne (Wollongong) 125.0* (129.8)|ML-WOL|YWOL
YWON|Melbourne (Wonthaggi) 135.3* (123.75)|ML-WON|YWON
YWRA|Melbourne (Woomera) 132.9* (128.85)|ML-WRA|YWRA
YYWE|Melbourne (Yarrowee) 134.325* (123.75)|ML-YWE|YYWE
ZBPE|Beijing|ZBPE|ZBPE
ZBAA|Beijing ACC - Beijing|ZBAA|ZBAA
ZBHH|Hohhot ACC - Beijing|ZBHH|ZBHH
ZHCC|Zhengzhou ACC - Wuhan|ZHCC|ZHCC
ZHHH|Wuhan ACC - Wuhan|ZHHH|ZHHH
ZHWH|Wuhan|ZHWH|ZHWH
ZGHA|Changsha ACC - Guangzhou|ZGHA|ZGHA
ZGNN|Nanning ACC - Guangzhou|ZGNN|ZGNN
ZGGG|Guangzhou ACC - Guangzhou|ZGGG|ZGGG
ZGZU|Guangzhou|ZGZU|ZGZU
ZJSA|Sanya|ZJSA|ZJSA
ZJSY|Sanya ACC - Sanya|ZJSY|ZJSY
ZKKP|Pyongyang|ZKKP|ZKKP
ZLHW|Lanzhou|ZLHW|ZLHW
ZLLL|Lanzhou ACC - Lanzhou|ZLLL|ZLLL
ZLXY|Xi'an ACC - Lanzhou|ZLXY|ZLXY
ZULS|Lhasa ACC - Kunming|ZULS|ZULS
ZPKM|Kunming|ZPKM|ZPKM
ZSHA|Shanghai|ZSHA|ZSHA
ZSSS|Shanghai ACC - Shanghai|ZSSS|ZSSS
ZSQD|Qingdao ACC - Shanghai|ZSQD|ZSQD
ZSJN|Jinan ACC - Shanghai|ZSJN|ZSJN
ZSOF|Hefei ACC - Shanghai|ZSOF|ZSOF
ZSCN|Nanchang ACC - Shanghai|ZSCN|ZSCN
ZSAM|Xiamen ACC - Shanghai|ZSAM|ZSAM
ZUUU|Chengdu ACC - Kunming|ZUUU|ZUUU
ZUGY|Guiyang ACC - Kunming|ZUGY|ZUGY
ZPPP|Kunming ACC - Kunming|ZPPP|ZPPP
ZWUQ|Urumqi|ZWUQ|ZWUQ
ZWWW|Urumqi ACC - Urumqi|ZWWW|ZWWW
ZYSH|Shenyang|ZYSH|ZYSH
ZYTX|Shenyang ACC - Shenyang|ZYTX|ZYTX
ZYHB|Harbin ACC - Shenyang|ZYHB|ZYHB
ZYTL|Dalian ACC - Shenyang|ZYTL|ZYTL
ZMUB|Ulaan Baatar|ZMUB|ZMUB

[UIRs]
ADR_U|Adria Radar Upper|LJLA,LDZO,LQSB,LYBA,LWSS,LAAA
AFRN|North Africa Control|DAAA,DRRR,DTTC,FTTT,GMMM,HLLL
AFRC|Africa Central Control|FLFI,FNAN,FSSS,FWLL,FZZA,HKNA,HTDC,HUEC,HBBA,HRYR
AFRE|East Africa Control|HAAA,HCSM,HHAA,HSSS
AFRS|Africa South Control|FACA,FAJA,FBGR,FIMM,FMMM,FQBE,FVHF,FYWH
AFRW|Africa West Control|DGAC,DGAO,DIII,DNKK,FCCC,GLRB,GOOO,GOOC,GVSC
ASEA_N|South East Asia Control|VHHK,RPHI,VVHM,VTBB,VVHN,VLVT,VDPF
ASEA_S|South East Asia Control|WSJC,WMFC,WBFC,WIIF,WAAF
ASEA|South East Asia Control|VHHK,WSJC,WMFC,WBFC,WIIF,WAAF,RPHI,VVHM,VDPF,VTBB,VVHN,VLVT,VYYF
ASIA|West Asia Control|VABF,VIDF,VECF,VOMF,VEGF,OPKR,OPLR,OAKX,VCCF,VRMF,VGFR,VNSM
BALT|Baltic Control|EYVL,EVRR,EETT
BICC|Iceland Radio|BIRD-E,BIRD-N,BIRD-S,BIRD-W
CARI|Caribbean Control|MUFH,MKJK,MTEG,MDCS,TNCF,TJZS,TTZP,TTZO
EDUU|Rhein Radar|EDGG-D,EDMM-G,EDMM-R,EDGG-B,EDGG-R,EDGG-G,EDMM-Z,EDWW-B
EDYY|Maastricht Radar|EBBU,EHAA,EDGG-P,EDWW-A
EURN|Eurocontrol North|EKDK,EETT,EFIN,EVRR,EYVL,ENBD,ENOS,ENSV,ESOS
EURM|Maastricht Eurocontrol|LOVV,EBBU,EDGG,EDMM,EDWW,LSAS,EHAA
EURM-E|Maastricht Eurocontrol|LOVV,EDMM,EDWW-B,LKAA
EURM-W|Maastricht Eurocontrol|EBBU,EDGG,EDWW-A,LSAS,EHAA
EURW-N|Eurocontrol West|LFBB,LFEE,LFMM,LFRR
EURW-S|Eurocontrol West|LPPC,LECM,LECB,LECS
EURE|Eurocontrol East|LAAA,LQSB,LBSR,LDZO,LKAA,LWSS,LHCC,LUUU,EPWW,LRBB,LYBA,LZBB,LJLA
EURS|Eurocontrol South|LCCC,LGGG,LIMM,LIPP,LIRR,LIBB,LMMM,LTAA,LTBB
GULF|Gulf Control|OIIX,ORBB,OSTT,OEJD,OKAC,OBBB,OMAE,OYSC,OOMM,OJAC,OLBB,HECC
GULF_E|Gulf Control|OBBB,OIIX,OKAC,OMAE,OOMM,ORBB
GULF_W|Gulf Control|HECC,OEJD,OJAC,OLBB,OSTT,OYSC
LFUP|France Control|LFMM,LFFF,LFEE,LFBB,LFRR
LIUP|Italy Radar|LIMM,LIBB,LIRR,LIPP
LRUB|Black Sea West Control|LBSR,LRBB,LUUU
LTUP|Turkey Control|LTAA
PRC|Beijing Control|ZBPE,ZGZU,ZJSA,ZLHW,ZPKM,ZSHA,ZWUQ,ZYSH
RU-ERC|Eastern Russia Control|UEEE,UHHH,UHMM,UHPP
RU-WRC|Western Russia Control|UMMV,UUWV,UWWW
RU-ESC|Eastern Siberia Control|UNKL,UIII
RU-WSC|Western Siberia Control|USTV,USSV,UNNT
RU-CEN|Central Asia Control|UATT,UACN,UAAA,UTAK,UTAA,UTAT,UTAV,UTSD,UTTR,UAII,UCFO,UTDD,UCFM
RU-NWC|North West Control|ULLL,ULWW,ULMM,ULAA,ULKK,UMKK,UUYY
RU-SC|Caucasus Radar|URRV,UGGG,UDDD,UBBA
SAM-N|South America Control North|SEFG,SKED,SKEC,MPZL,MHCC,SVZM,SYGC,SMPM,SOOO
SAM-E|South America Control East|SBCW,SBAZ,SBRE,SBBS
SAM-S|South America Control South|SUEO,SGFA,SAEF,SARR,SACF,SAMF,SAVF
SAM-W|South America Control West|SCEZ,SCTZ,SCCZ,SCFZ,SLLF,SPIM
